Year,Event,Driver,Team,LapNumber,Stint,TyreLife,Compound,LapTime,Position,TrackTemp,AirTemp,FuelEstimate,RowID,NormalizedLap,LapInStint,BestLap,DeltaBestLap,FuelNorm
2024,Austrian Grand Prix,PIA,McLaren,12,1,12,MEDIUM,71.153,6,46.4,29.4,90.2,103,3.229,11,70.541,0.612000000000009,0.833641404805915
2024,Austrian Grand Prix,PIA,McLaren,13,1,13,MEDIUM,71.3,6,46.4,29.4,88.4,104,3.37599999999999,12,70.541,0.759,0.817005545286506
2024,Austrian Grand Prix,PIA,McLaren,14,1,14,MEDIUM,71.424,6,46.4,29.4,86.6,105,3.5,13,70.541,0.88300000000001,0.800369685767098
2024,Austrian Grand Prix,PIA,McLaren,15,1,15,MEDIUM,71.665,6,46.4,29.4,84.8,106,3.741,14,70.541,1.12400000000001,0.783733826247689
2024,Austrian Grand Prix,PIA,McLaren,16,1,16,MEDIUM,71.484,6,46.4,29.4,83,107,3.55999999999999,15,70.541,0.942999999999998,0.767097966728281
2024,Austrian Grand Prix,PIA,McLaren,17,1,17,MEDIUM,71.535,6,46.4,29.4,81.2,108,3.61099999999999,16,70.541,0.994,0.750462107208873
2024,Austrian Grand Prix,PIA,McLaren,18,1,18,MEDIUM,71.577,6,46.4,29.4,79.4,109,3.65299999999999,17,70.541,1.036,0.733826247689464
2024,Austrian Grand Prix,PIA,McLaren,19,1,19,MEDIUM,71.753,6,46.4,29.4,77.6,110,3.82899999999999,18,70.541,1.212,0.717190388170055
2024,Austrian Grand Prix,PIA,McLaren,20,1,20,MEDIUM,71.741,6,46.4,29.4,75.8,111,3.81699999999999,19,70.541,1.2,0.700554528650647
2024,Austrian Grand Prix,PIA,McLaren,21,1,21,MEDIUM,71.86,5,46.4,29.4,74,112,3.93599999999999,20,70.541,1.319,0.683918669131238
2024,Austrian Grand Prix,PIA,McLaren,22,1,22,MEDIUM,71.366,5,46.4,29.4,72.2,113,3.44199999999999,21,70.541,0.825000000000003,0.66728280961183
2024,Austrian Grand Prix,PIA,McLaren,23,1,23,MEDIUM,71.224,3,46.4,29.4,70.4,114,3.3,22,70.541,0.683000000000007,0.650646950092421
2024,Austrian Grand Prix,PIA,McLaren,28,2,3,HARD,70.276,6,46.4,29.4,61.4,115,2.35199999999999,1,69.516,0.759999999999991,0.567467652495379
2024,Austrian Grand Prix,PIA,McLaren,29,2,4,HARD,69.985,6,46.4,29.4,59.6,116,2.06099999999999,2,69.516,0.468999999999994,0.55083179297597
2024,Austrian Grand Prix,PIA,McLaren,30,2,5,HARD,70.423,6,46.4,29.4,57.8,117,2.499,3,69.516,0.906999999999996,0.534195933456562
2024,Austrian Grand Prix,PIA,McLaren,31,2,6,HARD,69.994,6,46.4,29.4,56,118,2.06999999999999,4,69.516,0.477999999999994,0.517560073937153
2024,Austrian Grand Prix,PIA,McLaren,32,2,7,HARD,69.767,6,46.4,29.4,54.2,119,1.84299999999999,5,69.516,0.250999999999991,0.500924214417745
2024,Austrian Grand Prix,PIA,McLaren,33,2,8,HARD,69.516,6,46.4,29.4,52.4,120,1.592,6,69.516,0,0.484288354898336
2024,Austrian Grand Prix,PIA,McLaren,34,2,9,HARD,69.779,6,46.4,29.4,50.6,121,1.85499999999999,7,69.516,0.262999999999991,0.467652495378928
2024,Austrian Grand Prix,PIA,McLaren,35,2,10,HARD,70.238,6,46.4,29.4,48.8,122,2.31399999999999,8,69.516,0.721999999999994,0.451016635859519
2024,Austrian Grand Prix,PIA,McLaren,36,2,11,HARD,70.298,6,46.4,29.4,47,123,2.374,9,69.516,0.781999999999996,0.434380776340111
2024,Austrian Grand Prix,PIA,McLaren,37,2,12,HARD,70.176,6,46.4,29.4,45.2,124,2.252,10,69.516,0.659999999999997,0.417744916820702
2024,Austrian Grand Prix,PIA,McLaren,38,2,13,HARD,70.401,6,46.4,29.4,43.4,125,2.47699999999999,11,69.516,0.884999999999991,0.401109057301294
2024,Austrian Grand Prix,PIA,McLaren,39,2,14,HARD,70.57,6,46.4,29.4,41.6,126,2.64599999999999,12,69.516,1.05399999999999,0.384473197781885
2024,Austrian Grand Prix,PIA,McLaren,40,2,15,HARD,70.649,6,46.4,29.4,39.8,127,2.72499999999999,13,69.516,1.133,0.367837338262477
2024,Austrian Grand Prix,PIA,McLaren,41,2,16,HARD,70.729,6,46.4,29.4,38,128,2.80499999999999,14,69.516,1.21299999999999,0.351201478743068
2024,Austrian Grand Prix,PIA,McLaren,42,2,17,HARD,71.252,6,46.4,29.4,36.2,129,3.32799999999999,15,69.516,1.73599999999999,0.33456561922366
2024,Austrian Grand Prix,PIA,McLaren,43,2,18,HARD,70.772,6,46.4,29.4,34.4,130,2.848,16,69.516,1.256,0.317929759704251
2024,Austrian Grand Prix,PIA,McLaren,44,2,19,HARD,71.217,6,46.4,29.4,32.6,131,3.29299999999999,17,69.516,1.70099999999999,0.301293900184843
2024,Austrian Grand Prix,PIA,McLaren,45,2,20,HARD,70.617,6,46.4,29.4,30.8,132,2.693,18,69.516,1.101,0.284658040665434
2024,Austrian Grand Prix,PIA,McLaren,46,2,21,HARD,70.562,6,46.4,29.4,29,133,2.63799999999999,19,69.516,1.04599999999999,0.268022181146026
2024,Austrian Grand Prix,PIA,McLaren,47,2,22,HARD,71.024,4,46.4,29.4,27.2,134,3.09999999999999,20,69.516,1.508,0.251386321626617
2024,Austrian Grand Prix,PIA,McLaren,48,2,23,HARD,70.578,3,46.4,29.4,25.4,135,2.654,21,69.516,1.062,0.234750462107209
2024,Austrian Grand Prix,PIA,McLaren,49,2,24,HARD,70.661,3,46.4,29.4,23.6,136,2.73699999999999,22,69.516,1.145,0.2181146025878
2024,Austrian Grand Prix,PIA,McLaren,54,3,3,MEDIUM,69.014,5,46.4,29.4,14.6,137,1.08999999999999,1,68.697,0.316999999999993,0.134935304990758
2024,Austrian Grand Prix,PIA,McLaren,55,3,4,MEDIUM,68.837,5,46.4,29.4,12.8,138,0.912999999999997,2,68.697,0.140000000000001,0.118299445471349
2024,Austrian Grand Prix,PIA,McLaren,56,3,5,MEDIUM,68.697,5,46.4,29.4,11,139,0.772999999999996,3,68.697,0,0.101663585951941
2024,Austrian Grand Prix,PIA,McLaren,57,3,6,MEDIUM,69.048,5,46.4,29.4,9.2,140,1.124,4,68.697,0.350999999999999,0.0850277264325323
2024,Austrian Grand Prix,PIA,McLaren,58,3,7,MEDIUM,69.441,5,46.4,29.4,7.4,141,1.517,5,68.697,0.744,0.0683918669131238
2024,Austrian Grand Prix,PIA,McLaren,59,3,8,MEDIUM,69.627,5,46.4,29.4,5.6,142,1.70299999999999,6,68.697,0.929999999999993,0.0517560073937153
2024,Austrian Grand Prix,PIA,McLaren,60,3,9,MEDIUM,69.616,5,46.4,29.4,3.8,143,1.69199999999999,7,68.697,0.918999999999997,0.0351201478743068
2024,Austrian Grand Prix,PIA,McLaren,61,3,10,MEDIUM,69.487,5,46.4,29.4,2,144,1.56299999999999,8,68.697,0.789999999999992,0.0184842883548983
2024,Austrian Grand Prix,PIA,McLaren,62,3,11,MEDIUM,69.634,5,46.4,29.4,0.2,145,1.70999999999999,9,68.697,0.936999999999998,0.00184842883548983
2024,Austrian Grand Prix,PIA,McLaren,63,3,12,MEDIUM,69.986,5,46.4,29.4,0,146,2.062,10,68.697,1.289,0
2024,Austrian Grand Prix,PIA,McLaren,65,3,14,MEDIUM,70.14,2,46.4,29.4,0,147,2.21599999999999,11,68.697,1.443,0
2024,Austrian Grand Prix,PIA,McLaren,67,3,16,MEDIUM,69.532,2,46.4,29.4,0,148,1.60799999999999,12,68.697,0.834999999999994,0
2024,Austrian Grand Prix,PIA,McLaren,68,3,17,MEDIUM,69.241,2,46.4,29.4,0,149,1.31699999999999,13,68.697,0.543999999999997,0
2024,Austrian Grand Prix,PIA,McLaren,69,3,18,MEDIUM,69.159,2,46.4,29.4,0,150,1.235,14,68.697,0.462000000000003,0
2024,Austrian Grand Prix,PIA,McLaren,70,3,19,MEDIUM,69.989,2,46.4,29.4,0,151,2.065,15,68.697,1.292,0
2024,Austrian Grand Prix,PIA,McLaren,71,3,20,MEDIUM,69.668,2,46.4,29.4,0,152,1.744,16,68.697,0.971000000000004,0
2024,Azerbaijan Grand Prix,PIA,McLaren,2,1,2,MEDIUM,108.944,2,44.3,26.7,108.2,153,1.884,1,108.07,0.874000000000009,1
2024,Azerbaijan Grand Prix,PIA,McLaren,3,1,3,MEDIUM,108.811,2,44.3,26.7,106.4,154,1.751,2,108.07,0.741000000000014,0.983364140480592
2024,Azerbaijan Grand Prix,PIA,McLaren,4,1,4,MEDIUM,108.408,2,44.3,26.7,104.6,155,1.348,3,108.07,0.338000000000008,0.966728280961183
2024,Azerbaijan Grand Prix,PIA,McLaren,5,1,5,MEDIUM,108.07,2,44.3,26.7,102.8,156,1.00999999999999,4,108.07,0,0.950092421441774
2024,Azerbaijan Grand Prix,PIA,McLaren,6,1,6,MEDIUM,108.848,2,44.3,26.7,101,157,1.788,5,108.07,0.778000000000006,0.933456561922366
2024,Azerbaijan Grand Prix,PIA,McLaren,7,1,7,MEDIUM,108.755,2,44.3,26.7,99.2,158,1.69499999999999,6,108.07,0.685000000000002,0.916820702402958
2024,Azerbaijan Grand Prix,PIA,McLaren,8,1,8,MEDIUM,108.297,2,44.3,26.7,97.4,159,1.23699999999999,7,108.07,0.227000000000004,0.900184842883549
2024,Azerbaijan Grand Prix,PIA,McLaren,9,1,9,MEDIUM,108.225,2,44.3,26.7,95.6,160,1.16499999999999,8,108.07,0.155000000000001,0.88354898336414
2024,Azerbaijan Grand Prix,PIA,McLaren,10,1,10,MEDIUM,108.601,2,44.3,26.7,93.8,161,1.541,9,108.07,0.531000000000006,0.866913123844732
2024,Azerbaijan Grand Prix,PIA,McLaren,11,1,11,MEDIUM,108.304,2,44.3,26.7,92,162,1.244,10,108.07,0.234000000000009,0.850277264325323
2024,Azerbaijan Grand Prix,PIA,McLaren,12,1,12,MEDIUM,108.948,2,44.3,26.7,90.2,163,1.88799999999999,11,108.07,0.878,0.833641404805915
2024,Azerbaijan Grand Prix,PIA,McLaren,13,1,13,MEDIUM,109.194,2,44.3,26.7,88.4,164,2.134,12,108.07,1.12400000000001,0.817005545286506
2024,Azerbaijan Grand Prix,PIA,McLaren,18,2,3,HARD,107.817,2,44.3,26.7,79.4,165,0.756999999999991,1,107.06,0.756999999999991,0.733826247689464
